"id","data","target"
38,"[[411, 123, 47.2017936706543], [289, 203, 9.34087085723877], [289, 203, 9.34087085723877], [294, 157, 7.826338291168213], [294, 157, 7.826338291168213], [294, 157, 7.826338291168213], [297, 137, 8.732224464416504], [297, 137, 8.732224464416504], [297, 137, 8.732224464416504], [297, 137, 8.732224464416504]]",34
39,"[[368, 307, 32.55623245239258], [286, 218, 8.381627082824707], [286, 218, 8.381627082824707], [286, 218, 8.381627082824707], [286, 218, 8.381627082824707], [286, 218, 8.381627082824707], [288, 193, 9.486932754516602], [288, 193, 9.486932754516602], [288, 193, 9.486932754516602], [288, 193, 9.486932754516602]]",20
40,"[[307, 142, 8.077847480773926], [307, 142, 8.077847480773926], [307, 142, 8.077847480773926], [307, 142, 8.077847480773926], [311, 122, 8.544103622436523], [311, 122, 8.544103622436523], [311, 122, 8.544103622436523], [311, 122, 8.544103622436523], [311, 122, 8.544103622436523], [315, 104, 8.077847480773926]]",44
41,"[[508, 201, 83.52853393554688], [289, 203, 8.732224464416504], [289, 203, 8.732224464416504], [289, 203, 8.732224464416504], [290, 159, 7.615873336791992], [290, 159, 7.615873336791992], [290, 159, 7.615873336791992], [290, 140, 7.905794143676758], [290, 140, 7.905794143676758], [290, 140, 7.905794143676758]]",88
42,"[[345, 360, 64.7825698852539], [286, 215, 8.732224464416504], [286, 215, 8.732224464416504], [286, 215, 8.732224464416504], [286, 215, 8.732224464416504], [286, 191, 8.381627082824707], [286, 191, 8.381627082824707], [286, 191, 8.381627082824707], [286, 191, 8.381627082824707], [286, 191, 8.381627082824707]]",61
43,"[[288, 208, 9.013978004455566], [288, 208, 9.013978004455566], [291, 186, 8.544103622436523], [291, 186, 8.544103622436523], [291, 186, 8.544103622436523], [291, 186, 8.544103622436523], [291, 186, 8.544103622436523], [291, 186, 8.544103622436523], [299, 145, 8.077847480773926], [299, 145, 8.077847480773926]]",86
44,"[[299, 407, 57.06365966796875], [287, 209, 8.381627082824707], [287, 209, 8.381627082824707], [287, 209, 8.381627082824707], [287, 209, 8.381627082824707], [288, 187, 8.381627082824707], [288, 187, 8.381627082824707], [288, 187, 8.381627082824707], [288, 187, 8.381627082824707], [288, 187, 8.381627082824707]]",77
45,"[[447, 433, 28.671798706054688], [286, 174, 8.24631118774414], [286, 174, 8.24631118774414], [286, 174, 8.24631118774414], [286, 174, 8.24631118774414], [286, 174, 8.24631118774414], [289, 149, 8.381627082824707], [289, 149, 8.381627082824707], [289, 149, 8.381627082824707], [289, 149, 8.381627082824707]]",38
46,"[[404, 3, 17.02948570251465], [293, 204, 8.544103622436523], [293, 204, 8.544103622436523], [293, 204, 8.544103622436523], [293, 204, 8.544103622436523], [293, 204, 8.544103622436523], [300, 143, 7.615873336791992], [300, 143, 7.615873336791992], [300, 143, 7.615873336791992], [300, 143, 7.615873336791992]]",87
47,"[[43, 93, 70.00724029541016], [300, 195, 7.905794143676758], [300, 195, 7.905794143676758], [308, 125, 7.615873336791992], [308, 125, 7.615873336791992], [308, 125, 7.615873336791992], [308, 125, 7.615873336791992], [308, 125, 7.615873336791992], [310, 118, 8.090312004089355], [310, 118, 8.090312004089355]]",91
