"id","data","target"
56,"[[279, 242, 9.962529182434082], [279, 242, 9.962529182434082], [275, 172, 10.198139190673828], [275, 172, 10.198139190673828], [275, 172, 10.198139190673828], [274, 151, 9.962529182434082], [274, 151, 9.962529182434082], [274, 151, 9.962529182434082], [273, 133, 10.30786418914795], [273, 133, 10.30786418914795]]",50
57,"[[285, 242, 9.486932754516602], [285, 242, 9.486932754516602], [285, 242, 9.486932754516602], [295, 195, 8.732224464416504], [295, 195, 8.732224464416504], [295, 195, 8.732224464416504], [299, 175, 9.394247055053711], [299, 175, 9.394247055053711], [306, 155, 9.394247055053711], [306, 155, 9.394247055053711]]",60
58,"[[286, 238, 9.962529182434082], [286, 238, 9.962529182434082], [286, 238, 9.962529182434082], [286, 238, 9.962529182434082], [286, 238, 9.962529182434082], [292, 169, 10.12432861328125], [292, 169, 10.12432861328125], [295, 149, 10.12432861328125], [295, 149, 10.12432861328125], [295, 149, 10.12432861328125]]",50
60,"[[282, 249, 9.013978004455566], [282, 249, 9.013978004455566], [284, 230, 8.077847480773926], [284, 230, 8.077847480773926], [284, 230, 8.077847480773926], [284, 230, 8.077847480773926], [289, 193, 8.276573181152344], [289, 193, 8.276573181152344], [289, 193, 8.276573181152344], [289, 193, 8.276573181152344]]",100
61,"[[284, 238, 9.962529182434082], [284, 238, 9.962529182434082], [293, 166, 10.12432861328125], [293, 166, 10.12432861328125], [293, 166, 10.12432861328125], [293, 166, 10.12432861328125], [297, 145, 9.65670394897461], [297, 145, 9.65670394897461], [297, 145, 9.65670394897461], [297, 145, 9.65670394897461]]",10
62,"[[288, 248, 9.013978004455566], [288, 248, 9.013978004455566], [299, 188, 7.826338291168213], [299, 188, 7.826338291168213], [299, 188, 7.826338291168213], [304, 173, 8.944372177124023], [304, 173, 8.944372177124023], [304, 173, 8.944372177124023], [304, 173, 8.944372177124023], [304, 173, 8.944372177124023]]",90
63,"[[284, 252, 8.860122680664062], [284, 252, 8.860122680664062], [284, 252, 8.860122680664062], [284, 252, 8.860122680664062], [284, 252, 8.860122680664062], [284, 252, 8.860122680664062], [286, 194, 8.09577465057373], [286, 194, 8.09577465057373], [286, 194, 8.09577465057373], [286, 194, 8.09577465057373]]",90
65,"[[283, 254, 8.077847480773926], [283, 254, 8.077847480773926], [283, 254, 8.077847480773926], [285, 233, 9.013978004455566], [285, 233, 9.013978004455566], [285, 233, 9.013978004455566], [285, 233, 9.013978004455566], [285, 233, 9.013978004455566], [293, 185, 9.192488670349121], [293, 185, 9.192488670349121]]",55
66,"[[288, 258, 8.077847480773926], [288, 258, 8.077847480773926], [288, 258, 8.077847480773926], [288, 258, 8.077847480773926], [288, 258, 8.077847480773926], [302, 183, 8.276573181152344], [302, 183, 8.276573181152344], [307, 168, 8.500100135803223], [307, 168, 8.500100135803223], [307, 168, 8.500100135803223]]",100
67,"[[287, 247, 8.732224464416504], [287, 247, 8.732224464416504], [287, 247, 8.732224464416504], [287, 247, 8.732224464416504], [287, 247, 8.732224464416504], [296, 185, 8.544103622436523], [296, 185, 8.544103622436523], [296, 185, 8.544103622436523], [296, 185, 8.544103622436523], [296, 185, 8.544103622436523]]",95
68,"[[285, 236, 9.34087085723877], [285, 236, 9.34087085723877], [288, 195, 8.860122680664062], [288, 195, 8.860122680664062], [289, 178, 9.486932754516602], [289, 178, 9.486932754516602], [289, 178, 9.486932754516602], [291, 164, 9.192488670349121], [291, 164, 9.192488670349121], [293, 152, 9.208382606506348]]",95
69,"[[300, 162, 9.192488670349121], [300, 162, 9.192488670349121], [300, 162, 9.192488670349121], [305, 145, 9.192488670349121], [305, 145, 9.192488670349121], [305, 145, 9.192488670349121], [311, 130, 8.909463882446289], [311, 130, 8.909463882446289], [319, 119, 8.062357902526855], [319, 119, 8.062357902526855]]",80
70,"[[283, 249, 7.905794143676758], [283, 249, 7.905794143676758], [283, 249, 7.905794143676758], [289, 186, 8.544103622436523], [289, 186, 8.544103622436523], [289, 186, 8.544103622436523], [289, 186, 8.544103622436523], [289, 186, 8.544103622436523], [295, 150, 8.500100135803223], [295, 150, 8.500100135803223]]",78
71,"[[277, 254, 7.615873336791992], [277, 254, 7.615873336791992], [277, 254, 7.615873336791992], [279, 234, 9.34087085723877], [279, 234, 9.34087085723877], [279, 234, 9.34087085723877], [279, 234, 9.34087085723877], [279, 234, 9.34087085723877], [283, 187, 9.486932754516602], [283, 187, 9.486932754516602]]",45
72,"[[285, 194, 8.381627082824707], [285, 194, 8.381627082824707], [285, 194, 8.381627082824707], [285, 194, 8.381627082824707], [285, 194, 8.381627082824707], [285, 194, 8.381627082824707], [287, 153, 9.501566886901855], [287, 153, 9.501566886901855], [288, 135, 9.486932754516602], [288, 135, 9.486932754516602]]",45
73,"[[291, 197, 8.732224464416504], [291, 197, 8.732224464416504], [291, 197, 8.732224464416504], [291, 197, 8.732224464416504], [291, 197, 8.732224464416504], [291, 197, 8.732224464416504], [298, 159, 10.770429611206055], [298, 159, 10.770429611206055], [304, 143, 10.735555648803711], [304, 143, 10.735555648803711]]",40
74,"[[284, 256, 8.544103622436523], [284, 256, 8.544103622436523], [284, 256, 8.544103622436523], [284, 256, 8.544103622436523], [284, 256, 8.544103622436523], [292, 191, 8.732224464416504], [292, 191, 8.732224464416504], [292, 191, 8.732224464416504], [295, 172, 9.659314155578613], [295, 172, 9.659314155578613]]",60
